PERMNO,date,TICKER,COMNAM,RET,sprtrn
89898,04/30/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.022508,-0.007497
89898,05/31/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,0.062500,-0.062651
89898,06/29/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,0.153251,0.039555
89898,07/31/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,0.009396,0.012598
89898,08/31/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.034574,0.019763
89898,09/28/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.132231,0.024236
89898,10/31/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.082540,-0.019789
89898,11/30/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.027682,0.002847
89898,12/31/2012,OMEX,ODYSSEY MARINE EXPLORATION INC,0.056940,0.007068
89898,01/31/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,0.035354,0.050428
89898,02/28/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,0.138211,0.011061
89898,03/28/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.068571,0.035988
89898,04/30/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.095092,0.018086
89898,05/31/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,0.111864,0.020763
89898,06/28/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.097561,-0.014999
89898,07/31/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,0.199324,0.049462
89898,08/30/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.185915,-0.031298
89898,09/30/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,0.038062,0.029749
89898,10/31/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.280000,0.044596
89898,11/29/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.050926,0.028049
89898,12/31/2013,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.014634,0.023563
89898,01/31/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.039604,-0.035583
89898,02/28/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,0.128866,0.043117
89898,03/31/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,0.045662,0.006932
89898,04/30/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.043668,0.006201
89898,05/30/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.369863,0.021030
89898,06/30/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,0.217391,0.019058
89898,07/31/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.279762,-0.015080
89898,08/29/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.057851,0.037655
89898,09/30/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.201754,-0.015514
89898,10/31/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,0.296703,0.023201
89898,11/28/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,0.000000,0.024534
89898,12/31/2014,OMEX,ODYSSEY MARINE EXPLORATION INC,-0.211864,-0.004189
89898,01/30/2015,OMEX,ODYSSEY MARINE EXPLORATION INC,0.064516,-0.031041
89913,01/29/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.238335,-0.036974
89913,02/26/2010,MRLN,MARLIN BUSINESS SVCS CORP,-0.090631,0.028514
89913,03/31/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.136618,0.058796
89913,04/30/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.156650,0.014759
89913,05/28/2010,MRLN,MARLIN BUSINESS SVCS CORP,-0.037479,-0.081976
89913,06/30/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.069912,-0.053882
89913,07/30/2010,MRLN,MARLIN BUSINESS SVCS CORP,-0.075269,0.068778
89913,08/31/2010,MRLN,MARLIN BUSINESS SVCS CORP,-0.127907,-0.047449
89913,09/30/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.230769,0.087551
89913,10/29/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.014167,0.036856
89913,11/30/2010,MRLN,MARLIN BUSINESS SVCS CORP,-0.129006,-0.002290
89913,12/31/2010,MRLN,MARLIN BUSINESS SVCS CORP,0.193396,0.065300
89913,01/31/2011,MRLN,MARLIN BUSINESS SVCS CORP,0.032411,0.022646
89913,02/28/2011,MRLN,MARLIN BUSINESS SVCS CORP,-0.150077,0.031957
89913,03/31/2011,MRLN,MARLIN BUSINESS SVCS CORP,0.111712,-0.001047
89913,04/29/2011,MRLN,MARLIN BUSINESS SVCS CORP,-0.012156,0.028495
89913,05/31/2011,MRLN,MARLIN BUSINESS SVCS CORP,0.013126,-0.013501
89913,06/30/2011,MRLN,MARLIN BUSINESS SVCS CORP,0.024291,-0.018258
89913,07/29/2011,MRLN,MARLIN BUSINESS SVCS CORP,-0.013439,-0.021474
89913,08/31/2011,MRLN,MARLIN BUSINESS SVCS CORP,-0.069712,-0.056791
89913,09/30/2011,MRLN,MARLIN BUSINESS SVCS CORP,-0.086994,-0.071762
89913,10/31/2011,MRLN,MARLIN BUSINESS SVCS CORP,0.112264,0.107723
89913,11/30/2011,MRLN,MARLIN BUSINESS SVCS CORP,0.107718,-0.005059
89913,12/30/2011,MRLN,MARLIN BUSINESS SVCS CORP,-0.023077,0.008533
89913,01/31/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.126772,0.043583
89913,02/29/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.097135,0.040589
89913,03/30/2012,MRLN,MARLIN BUSINESS SVCS CORP,-0.036943,0.031332
89913,04/30/2012,MRLN,MARLIN BUSINESS SVCS CORP,-0.025232,-0.007497
89913,05/31/2012,MRLN,MARLIN BUSINESS SVCS CORP,-0.014305,-0.062651
89913,06/29/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.137405,0.039555
89913,07/31/2012,MRLN,MARLIN BUSINESS SVCS CORP,-0.062843,0.012598
89913,08/31/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.082031,0.019763
89913,09/28/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.282346,0.024236
89913,10/31/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.065064,-0.019789
89913,11/30/2012,MRLN,MARLIN BUSINESS SVCS CORP,-0.230633,0.002847
89913,12/31/2012,MRLN,MARLIN BUSINESS SVCS CORP,0.159538,0.007068
89913,01/31/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.096710,0.050428
89913,02/28/2013,MRLN,MARLIN BUSINESS SVCS CORP,-0.134091,0.011061
89913,03/28/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.223747,0.035988
89913,04/30/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.044847,0.018086
89913,05/31/2013,MRLN,MARLIN BUSINESS SVCS CORP,-0.030953,0.020763
89913,06/28/2013,MRLN,MARLIN BUSINESS SVCS CORP,-0.025663,-0.014999
89913,07/31/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.004390,0.049462
89913,08/30/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.069493,-0.031298
89913,09/30/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.106732,0.029749
89913,10/31/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.104567,0.044596
89913,11/29/2013,MRLN,MARLIN BUSINESS SVCS CORP,-0.094668,0.028049
89913,12/31/2013,MRLN,MARLIN BUSINESS SVCS CORP,0.014085,0.023563
89913,01/31/2014,MRLN,MARLIN BUSINESS SVCS CORP,0.006746,-0.035583
89913,02/28/2014,MRLN,MARLIN BUSINESS SVCS CORP,-0.148207,0.043117
89913,03/31/2014,MRLN,MARLIN BUSINESS SVCS CORP,-0.032093,0.006932
89913,04/30/2014,MRLN,MARLIN BUSINESS SVCS CORP,-0.174916,0.006201
